[rank1]:[W723 22:00:49.802009433 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 1]  using GPU 1 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[rank0]:[W723 22:00:49.857492411 ProcessGroupNCCL.cpp:4115] [PG ID 0 PG GUID 0 Rank 0]  using GPU 0 to perform barrier as devices used by this process are currently unknown. This can potentially cause a hang if this rank to GPU mapping is incorrect.Specify device_ids in barrier() to force use of a particular device,or call init_process_group() with a device_id.
[clip_pretrained] loaded 305 tensors from model/ViT-B-16.pt
[clip_pretrained] missing total=282 (visual2*/decoder*/classification* expected = 282; backbone gaps must be 0 -> 0 [])
[clip_pretrained] unexpected (ignored) = 3 ['input_resolution', 'context_length', 'vocab_size']
epoch=1 step=2540/29520 loss=66.9748 Le=0.4306 Lc=1.8440 Ld=5.4735 lr=9.935e-06 peak_mem=25.49GiB
epoch=1 step=2560/29520 loss=61.1661 Le=0.3840 Lc=1.7503 Ld=5.2589 lr=9.934e-06 peak_mem=25.49GiB
epoch=1 step=2580/29520 loss=53.0648 Le=0.2966 Lc=1.7909 Ld=5.4930 lr=9.932e-06 peak_mem=25.49GiB
epoch=1 step=2600/29520 loss=57.2862 Le=0.3367 Lc=1.8306 Ld=5.3088 lr=9.930e-06 peak_mem=25.49GiB
epoch=1 step=2620/29520 loss=44.9968 Le=0.2321 Lc=1.6278 Ld=5.5092 lr=9.929e-06 peak_mem=25.49GiB
epoch=1 step=2640/29520 loss=49.2894 Le=0.2545 Lc=1.8449 Ld=5.3947 lr=9.927e-06 peak_mem=25.49GiB
epoch=1 step=2660/29520 loss=86.2953 Le=0.6352 Lc=1.7268 Ld=5.5095 lr=9.925e-06 peak_mem=25.49GiB
epoch=1 step=2680/29520 loss=56.9641 Le=0.3400 Lc=1.7390 Ld=5.5715 lr=9.923e-06 peak_mem=25.49GiB
epoch=1 step=2700/29520 loss=64.4955 Le=0.4155 Lc=1.7571 Ld=5.3780 lr=9.921e-06 peak_mem=25.49GiB
epoch=1 step=2720/29520 loss=71.7298 Le=0.4763 Lc=1.8627 Ld=5.4683 lr=9.919e-06 peak_mem=25.49GiB
epoch=1 step=2740/29520 loss=52.3713 Le=0.2816 Lc=1.8918 Ld=5.2899 lr=9.918e-06 peak_mem=25.49GiB
